#
# http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/AcA/50/337
#
#OGLE-CL    RAJ2000      DEJ2000      Rad l   logt   e   logt2   e  
#           "h:m:s"      "d:m:s"   arcsec     [yr]  [yr]  [yr]  [yr]
#
    370  05 20 25.45  -69 21 18.1     20     7.80  0.10  99.9 99.99
    372  05 20 27.62  -69 21 53.3     20     8.55  0.10  99.9 99.99
    373  05 20 27.71  -70 27 00.0     15     8.55  0.05  99.9 99.99
    374  05 20 29.05  -69 44 59.5     10     7.80  0.10  99.9 99.99
    375  05 20 30.61  -69 32 09.0     31     7.70  0.05  99.9 99.99
    376  05 20 34.23  -69 38 18.2     22     6.80  0.10  99.9 99.99
    377  05 20 34.71  -70 00 53.0     16     7.55  0.05  99.9 99.99
    378  05 20 35.06  -69 41 19.4     18     8.70  0.10  99.9 99.99
    379  05 20 35.42  -69 31 32.9     27     8.00  0.10  99.9 99.99
    380  05 20 37.00  -70 57 51.7      9     9.00  0.10  99.9 99.99
    381  05 20 48.15  -69 24 55.2     16     6.80  0.10  99.9 99.99
    382  05 20 57.73  -69 28 40.2     31     9.03  0.05  99.9 99.99
    384  05 21 00.04  -70 18 57.4     12     8.80  0.10  99.9 99.99
    385  05 21 01.62  -69 23 22.6     20     8.00  0.05  99.9 99.99
    386  05 21 02.07  -70 52 24.1     15     8.30  0.05  99.9 99.99
    387  05 21 05.47  -70 02 45.3     12     8.00  0.08  99.9 99.99
    388  05 21 09.93  -69 50 36.4     12     9.00  0.10  99.9 99.99
    389  05 21 10.93  -69 56 36.8     16     8.70  0.08  99.9 99.99
    390  05 21 18.65  -69 28 35.7     17     9.00  0.08  99.9 99.99
    391  05 21 21.69  -70 54 01.0     17     9.00  0.10  99.9 99.99
    392  05 21 22.77  -69 54 33.5     12     8.60  0.08  99.9 99.99
    394  05 21 24.45  -69 56 27.5     25     8.55  0.05  99.9 99.99
    395  05 21 26.82  -69 56 59.0     30     9.00  0.10  99.9 99.99
    396  05 21 29.91  -69 49 43.0     30     8.00  0.10  99.9 99.99
    397  05 21 30.04  -69 25 54.6     11     6.60  0.10   8.1 99.99
    398  05 21 35.12  -69 40 20.8     18     7.45  0.05  99.9 99.99
    399  05 21 47.36  -69 24 59.8     14     8.50  0.10  99.9 99.99
    400  05 21 49.43  -69 39 06.0     30     8.20  0.20  99.9 99.99
    402  05 21 57.00  -69 36 39.0     12     8.40  0.10  99.9 99.99
    403  05 22 03.23  -70 02 44.3     12     8.25  0.05  99.9 99.99
    404  05 22 03.30  -69 15 17.9     24     8.35  0.05  99.9 99.99
    405  05 22 06.85  -69 14 44.7     14     8.30  0.10  99.9 99.99
    407  05 22 14.67  -69 30 40.7     40     8.20  0.10  99.9 99.99
    409  05 22 27.28  -69 44 43.0     24     7.55  0.05  99.9 99.99
    411  05 22 29.67  -70 09 17.0     30     8.15  0.05  99.9 99.99
